ParName	Value	Gradient
log_relpop[444]	-0.233519	-2.51956e-07
log_relpop[445]	0.5196	-1.2687e-06
log_relpop[446]	0.338653	2.20473e-07
log_relpop[447]	-0.484355	3.24998e-08
log_relpop[448]	-0.494666	-2.30708e-07
log_relpop[449]	-0.166219	5.65432e-07
log_relpop[450]	0.0924562	9.17017e-07
log_relpop[451]	0.400531	-3.15758e-07
log_relpop[452]	0.336593	-7.94052e-07
log_relpop[453]	0.349575	5.6093e-07
log_relpop[454]	0.172469	3.75311e-07
log_relpop[455]	-0.466491	1.2328e-07
log_relpop[456]	-0.233519	-2.51956e-07
log_relpop[457]	0.5196	-1.2687e-06
log_relpop[458]	0.338653	2.20473e-07
log_relpop[459]	-0.484355	3.24998e-08
log_relpop[460]	-0.494666	-2.30708e-07
log_relpop[461]	-0.166219	5.65432e-07
log_relpop[462]	0.0924562	9.17017e-07
log_relpop[463]	0.400531	-3.15758e-07
log_relpop[464]	0.336593	-7.94052e-07
log_relpop[465]	0.349575	5.6093e-07
log_relpop[466]	0.172469	3.75311e-07
log_relpop[467]	-0.466491	1.2328e-07
log_relpop[468]	-0.233519	-2.51956e-07
log_relpop[469]	0.5196	-1.2687e-06
log_relpop[470]	0.338653	2.20473e-07
log_relpop[471]	-0.484355	3.24998e-08
log_relpop[472]	-0.494666	-2.30708e-07
log_relpop[473]	-0.166219	5.65432e-07
log_relpop[474]	0.0924562	9.17017e-07
log_relpop[475]	0.400531	-3.15757e-07
log_relpop[476]	0.336593	-7.94051e-07
log_relpop[477]	0.349575	5.6093e-07
log_relpop[478]	0.172469	3.75308e-07
log_relpop[479]	-0.466491	1.2328e-07
log_relpop[480]	-0.233519	-2.51955e-07
log_relpop[481]	0.5196	-1.2687e-06
log_relpop[482]	0.338653	2.20472e-07
log_relpop[483]	-0.484355	3.25007e-08
log_relpop[484]	-0.494666	-2.30709e-07
log_relpop[485]	-0.166219	5.6543e-07
log_relpop[486]	0.0924562	9.1702e-07
log_relpop[487]	0.400531	-3.1575e-07
log_relpop[488]	0.336593	-7.94051e-07
log_relpop[489]	0.349575	5.6093e-07
log_relpop[490]	0.172469	3.75312e-07
log_relpop[491]	-0.466491	1.2328e-07
log_relpop[492]	-0.233519	-2.51954e-07
log_relpop[493]	0.5196	-1.2687e-06
log_relpop[494]	0.338653	2.2047e-07
log_relpop[495]	-0.484355	3.2499e-08
log_relpop[496]	-0.494666	-2.30709e-07
log_relpop[497]	-0.166219	5.65432e-07
log_relpop[498]	0.0924562	9.17021e-07
log_relpop[499]	0.400531	-3.15757e-07
log_relpop[500]	0.336593	-7.94043e-07
log_relpop[501]	0.349575	5.60919e-07
log_relpop[502]	0.172469	3.75311e-07
log_relpop[503]	-0.466491	1.23279e-07
log_relpop[504]	-0.233519	-2.51956e-07
log_relpop[505]	0.5196	-1.26869e-06
log_relpop[506]	0.338653	2.20479e-07
log_relpop[507]	-0.484355	3.25011e-08
log_relpop[508]	-0.494666	-2.3071e-07
log_relpop[509]	-0.166219	5.65428e-07
log_relpop[510]	0.0924562	9.17012e-07
log_relpop[511]	0.400531	-3.15767e-07
log_relpop[512]	0.336593	-7.94074e-07
log_relpop[513]	0.349575	5.60864e-07
log_relpop[514]	0.172469	3.75207e-07
log_relpop[515]	-0.466491	1.23122e-07
log_relpop[516]	-0.233519	-2.52156e-07
log_relpop[517]	0.5196	-1.26891e-06
log_relpop[518]	0.338653	2.19901e-07
log_relpop[519]	-0.484355	3.09852e-08
log_relpop[520]	-0.494666	-2.31987e-07
log_relpop[521]	-0.166219	5.6507e-07
log_relpop[522]	0.0924562	9.17336e-07
log_relpop[523]	0.400531	-3.15191e-07
log_relpop[524]	0.336593	-7.92772e-07
log_relpop[525]	0.349575	5.63739e-07
log_relpop[526]	0.172469	3.79616e-07
log_relpop[527]	-0.466491	1.27083e-07
log_relpop[528]	-0.233519	-2.50232e-07
log_relpop[529]	0.5196	-1.26957e-06
log_relpop[530]	0.338653	2.17514e-07
log_relpop[531]	-0.484355	2.08079e-08
log_relpop[532]	-0.494666	-2.46792e-07
log_relpop[533]	-0.166219	5.70062e-07
log_relpop[534]	0.0924562	9.38519e-07
log_relpop[535]	0.400531	-2.86151e-07
log_relpop[536]	0.336593	-7.3075e-07
log_relpop[537]	0.349575	6.98894e-07
log_relpop[538]	0.172469	5.90314e-07
log_relpop[539]	-0.466491	3.29439e-07
log_relpop[540]	-0.233519	-1.30477e-07
log_relpop[541]	0.5196	-1.26824e-06
log_relpop[542]	0.338653	1.93652e-07
log_relpop[543]	-0.484355	-2.59676e-07
log_relpop[544]	-0.494666	-1.09415e-06
log_relpop[545]	-0.166219	1.61523e-07
log_relpop[546]	0.0924562	1.13091e-06
log_relpop[547]	0.400531	4.66673e-08
log_relpop[548]	0.336593	6.58537e-08
log_relpop[549]	0.349575	2.47322e-06
log_relpop[550]	0.172469	3.3191e-06
log_relpop[551]	-0.466491	2.72757e-06
log_relpop[552]	-0.233519	1.16849e-06
log_relpop[553]	0.5196	-1.12294e-06
log_relpop[554]	0.338653	3.82336e-09
log_relpop[555]	-0.484355	-7.77856e-07
log_relpop[556]	-0.494666	4.74397e-08
log_relpop[557]	-0.166219	7.70908e-07
log_relpop[558]	0.0924559	8.36251e-07
log_relpop[559]	0.400531	-1.31326e-06
log_relpop[560]	0.336591	-1.33441e-06
log_relpop[561]	0.349569	-2.29989e-07
log_relpop[562]	0.172456	-7.1492e-07
log_relpop[563]	-0.466521	-1.54926e-06
log_relpop[564]	-0.233577	-1.16799e-06
log_relpop[565]	0.51948	3.19006e-06
log_relpop[566]	0.338328	-2.99385e-07
log_relpop[567]	-0.485369	2.01398e-06
log_relpop[568]	-0.497847	-1.03198e-06
log_relpop[569]	-0.173672	-7.57287e-08
log_relpop[570]	0.0770164	-2.09904e-06
log_relpop[571]	0.360994	-5.00992e-07
log_relpop[572]	0.226739	2.95207e-06
log_relpop[573]	-0.0340424	3.64354e-06
log_relpop[574]	-0.195883	-3.19809e-06
log_relpop[575]	-1.97152	-2.41807e-08
log_relpop[576]	-0.766092	-1.25393e-05
log_relpop[577]	-0.570249	1.00175e-05
log_relpop[578]	-1.10854	9.06053e-06
log_relpop[579]	-2.99525	1.47392e-07
log_relpop[580]	-4.06726	-1.0266e-07
log_relpop[581]	-5.56075	1.07841e-07
effort_devs[0]	-0.373808	4.32536e-08
effort_devs[1]	-0.0329905	3.59247e-06
effort_devs[2]	0.189694	6.03068e-06
effort_devs[3]	0.160244	-2.38632e-06
effort_devs[4]	0.00113997	-3.53713e-06
effort_devs[5]	0.386978	1.91377e-06
effort_devs[6]	0.374579	1.17797e-06
effort_devs[7]	0.0560044	2.29308e-07
effort_devs[8]	-0.130096	6.98595e-07
effort_devs[9]	-0.29395	3.64281e-07
effort_devs[10]	-0.266356	-3.41387e-07
effort_devs[11]	-0.104125	1.28474e-06
effort_devs[12]	-0.363571	-1.05498e-06
effort_devs[13]	-0.0291414	-9.29769e-07
effort_devs[14]	0.189378	-3.09147e-08
effort_devs[15]	0.160513	-7.15213e-07
